ronde 1;;;;;
1;Welke kleur heeft de huid van een ijsbeer?;roze ;zwart;wit;bruin
2;Welke vlo komt het meest voor in Nederland?;hondenvlo;mensenvlo ;kattenvlo;vogelvlo
3;Wat voor soort hond is het pionnetje in het spel Monopoly?;golden retriever;chihuahua;labrador;schotse terrier
4;Hoeveel paar poten heeft een kever?;3;4;6;8
5;Welk fruit waren de gouden appels in de griekse mythologie;sinaasappels;appels;abrikozen;perziken
6;Welke stof is goud??;Au;Go;As;Ag
7;Welke kleur heeft licht met een golflengte van 470 nanometer?;rood;geel;groen;blauw
;;;;;
;;;;;
;;;;;
ronde 2;;;;;
1; Hoe wordt heet bij snowboarden genoemd wanneer je met je rechtervoet voorop het board staat?;mickey;ollie;goofy;backside
2;Bij welke sport kan men de titel Mr. Olympia halen?;atletiek;bodybuilding;schaatsen;gymnastiek
3;Hoe heet het als je naar de wind toe draait bij zeilen?;oploeven;afvallen;gijpen;afloeven
4;Hoe wordt een groep wielrenners ook wel genoemd?;een olepton;fietsers;een wielrennergroep;een peloton
5;Wat bedoelt men met elleboogstport?;armpje drukken;duimworstelen;tooghangen;hooghangen
6;Welk  Aziatisch land bereikte als eerste de halve finale op een wereldbeker voetbal in 2002?;Japan;Zuid-korea;China;Noord-Korea
7;Bij welke sport zijn een vechtsoprt en een denksport gecombineerd?;karatedammen;kungfukaarten;sumosudoku;Schaakboxen
;;;;;
;;;;;
;;;;;
;;;;;
finale;;;;;
1;;;;;
2;wat is het op een na grootste continent;afrika;;;
3;;;;;
4;;;;;
5;;;;;
6;;;;;
;;;;;
;;;;;
;bonus vraag;;;;
;hoeveel cm is 16 inch?;40,64 cm;;;
