Ronde 1
In welk eenheid wordt de lengte van een beeldscherm aangeduid?;A. Centimeter;B.millimeter;*C. Inch;D. Feet;
Wat is de naam van de klokkenluider van de Notre Dame in de gelijk namige disney film?;*A. Quasimodo;B. Fabrice;C. Cornelis;D. Hugo;
In welke maand worden de Oscars uitgereikt?;A. Januari ;*B. Februari ;C. Juni;D. Juli;
Welk snoepgoed wordt in het Frans barbe á papa genoemd?;A. Lolly’s ;B. Dropveters;C. Zurematten;*D. Suikerspin;
Wat is geen saus?;A. Béarnaise;*B. Marseillaise ;C. Hollandaise;D. Ravigotte;
In welk jaar was de eerste Harry Potter film in Nederland en België te zien?;A. 1998;B. 2002;*C. 2001;D. 2005;
Hoe breed is de doorsnede van een basketbal?;A. 25 cm;B. 35 cm;*C. 45 cm;D. 55 cm;

Ronde 2
Welk woord is geen werkwoord.;A. Zeven;B. Acht;C. Negen;*D. Tien;
Wat voor soort vlo zit meestal op een hond?;*A. Kattenvlooi;B. Honden vlooi;C. Mensenvlooi;D. Konijnen vlooi;
In welke maand begint de herfst?;A. Augustus;*B. September;C. Oktober ;D. November ;
Wat maakt pestosaus groen.;A. Peterselie;B. Spinazie;*C. Basilicum ;D. Tijm;
Hoeveel zintuigen heeft een mens.;A. 6;*B. 5;C. 4;D. 3;
Voor hoeveel procent water bestaat een mens.;A. 60%;B. 65%;*C. 70%;D. 75%;
Wat is de gewichtseenheid van diamant?;A. Gram;B. Kilo;C. Ounce;*D. Karaat;

Finale
Wat is het Latijnse woord voor meester?;*A. Magister;B. Meester;C. Maestro;D. Docentes;
Met welke letter worden zachte potloden aangeduid?;A. H;B. HB;*C. B;D. BZ;
Welke planeet is het groots in ons zonnestelsel?;A. De zon ;*B. Jupiter;C. De aarde;D. Neptunes;
In welk lichaams deel zit de meniscus?;A. Oor;B. Elleboog;C. Enkel;*D. Knie;
Wat is de gemiddelde brandtijd van een waxinelichtje?;*A. 4 uur;B. 3 uur ;C. 5 uur ;D. 2 uur;
Waar is iemand met coulrofobie bang voor?;A. Spinnen;B. Hoogtes;*C. Clowns;D. Slangen;
